,Topology,RSS,AICc
0,Null,178.854,111.58897600390472
1,AktActivate,174.88400000000001,112.97448869420195
2,ErkActivate,180.28099999999998,115.64914729535141
3,AktInhibit,165.84,108.30173895397577
4,ErkInhibit,178.227,114.64077940531838
5,AktActivate_ErkActivate,,
6,AktActivate_AktInhibit,166.81599999999997,112.28080428145901
7,AktActivate_ErkInhibit,174.57,116.27903137154638
8,ErkActivate_AktInhibit,196.39700000000002,126.6465149611243
9,ErkActivate_ErkInhibit,177.815,117.89980451578532
10,AktInhibit_ErkInhibit,167.40099999999998,112.58886792019797
11,AktActivate_ErkActivate_AktInhibit,170.89,117.97335766512452
12,AktActivate_ErkActivate_ErkInhibit,175.017,120.07330495665697
13,AktActivate_AktInhibit_ErkInhibit,166.80700000000002,115.84528717659124
14,ErkActivate_AktInhibit_ErkInhibit,171.245,118.15597570309897
15,AktActivate_ErkActivate_AktInhibit_ErkInhibit,172.247,122.35015572719925
